Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.031,0,-8.42619e-06,-0.000619288,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.26947e-05,-0.00052079,0.209311,-1,-0.121779,0.014579,157.056,0,0,0
0.032,0,-9.06916e-06,-0.000642969,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.28762e-05,-0.000181495,0.0736206,-1,-0.122965,-0.0493317,166.384,0,0,0
0.033,0,-9.73637e-06,-0.000667206,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.22397e-05,0.000636485,-0.25359,-1,-0.102167,-0.10148,182.934,0,0,0
0.034,0,-1.04276e-05,-0.000691184,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.11502e-05,0.00108954,-0.434882,-0.649141,-0.0764045,-0.134466,197.229,0,0,0
0.035,0,-1.11416e-05,-0.000714047,0,0,-1.07105e-12,-1.07105e-09,0,0,-9.75249e-06,0.00139766,-0.55823,-0.406593,-0.14178,-0.0767551,209.273,0,0,0
0.036,0,-1.18782e-05,-0.000736563,0,0,-1.07105e-12,-1.07105e-09,0,0,-7.76821e-06,0.00198428,-0.793012,-0.0830558,-0.0741359,0.152567,223.95,0,0,0
0.037,0,-1.26369e-05,-0.000758729,0,0,-1.07105e-12,-1.07105e-09,0,0,-4.88211e-06,0.0028861,-1.15393,0.186644,-0.0162484,0.177868,238.734,0,0,0
0.038,0,-1.34166e-05,-0.000779738,0,0,-1.07105e-12,-1.07105e-09,0,0,-1.24887e-06,0.00363324,-1.45305,0.297694,0.0907261,0.164062,251.149,0,0,0
0.039,0,-1.42185e-05,-0.000801918,0,0,-1.07105e-12,-1.07105e-09,0,0,2.75059e-06,0.00399946,-1.59984,0.30528,0.125171,0.154995,271.341,0,0,0
0.04,0,-1.50405e-05,-0.00082194,0,0,-1.07105e-12,-1.07105e-09,0,0,6.79543e-06,0.00404485,-1.61832,0.256815,0.107163,0.185728,281.357,0,0,0
0.041,0,-1.58804e-05,-0.000839897,0,0,-1.07105e-12,-1.07105e-09,0,0,1.07691e-05,0.00397371,-1.59019,0.183368,0.090878,0.212538,291.507,0,0,0
0.042,0,-1.67378e-05,-0.000857457,0,0,-1.07105e-12,-1.07105e-09,0,0,1.47094e-05,0.00394022,-1.57711,0.113587,0.0740453,0.2365,307.06,0,0,0
0.043,0,-1.76132e-05,-0.000875375,0,0,-1.07105e-12,-1.07105e-09,0,0,1.80054e-05,0.00329603,-1.31972,-0.137953,0.0499844,0.260415,325.354,0,0,0
0.044,0,-1.85051e-05,-0.000891914,0,0,-1.07105e-12,-1.07105e-09,0,0,2.10269e-05,0.00302147,-1.21015,-0.329718,-0.0375819,0.283821,338.273,0,0,0
0.045,0,-1.94123e-05,-0.000907142,0,0,-1.07105e-12,-1.07105e-09,0,0,2.4404e-05,0.00337715,-1.35268,-0.268888,-0.100424,0.28979,351.344,0,0,0
0.046,0,-2.03333e-05,-0.000921052,0,0,-1.07105e-12,-1.07105e-09,0,0,2.80689e-05,0.00366485,-1.46804,-0.243037,-0.167395,0.274025,364.485,0,0,0
0.047,0,-2.12661e-05,-0.000932822,0,0,-1.07105e-12,-1.07105e-09,0,0,3.19247e-05,0.00385585,-1.54474,-0.250314,-0.293725,0.155506,374.943,0,0,0
0.048,0,-2.22087e-05,-0.000942547,0,0,-1.07105e-12,-1.07105e-09,0,0,3.58857e-05,0.00396099,-1.58711,-0.284759,-0.341491,-0.0294207,385.495,0,0,0
0.049,0,-2.31616e-05,-0.000952866,0,0,-1.07105e-12,-1.07105e-09,0,0,3.96562e-05,0.00377045,-1.5112,-0.424263,-0.35427,-0.0251307,404.456,0,0,0
0.05,0,-2.41227e-05,-0.000961115,0,0,-1.07105e-12,-1.07105e-09,0,0,4.32271e-05,0.00357094,-1.43169,-0.581437,-0.36412,0.0699752,414.986,0,0,0
0.051,0,-2.50901e-05,-0.000967424,0,0,-1.07105e-12,-1.07105e-09,0,0,4.67412e-05,0.00351413,-1.40925,-0.687852,-0.355899,0.159694,425.589,0,0,0
0.052,0,-2.60628e-05,-0.000972725,0,0,-1.07105e-12,-1.07105e-09,0,0,5.06353e-05,0.00389412,-1.56154,-0.592687,-0.338128,0.238443,439.073,0,0,0
0.053,0,-2.70399e-05,-0.000977047,0,0,-1.07105e-12,-1.07105e-09,0,0,5.46887e-05,0.00405334,-1.62555,-0.59957,-0.353263,0.25783,452.562,0,0,0
0.054,0,-2.80194e-05,-0.000979499,0,0,-1.07105e-12,-1.07105e-09,0,0,5.8728e-05,0.00403933,-1.62027,-0.676634,-0.31454,0.343324,463.222,0,0,0
