Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.031,0,-8.0326e-06,-0.000581944,0,0,-2.65884e-13,-2.65884e-10,0,0,-3.64437e-05,-0.00264171,1.0595,-1,-0.13853,-0.125633,153.277,0,0,0
0.032,0,-8.63868e-06,-0.00060608,0,0,-2.65884e-13,-2.65884e-10,0,0,-3.92806e-05,-0.00283693,1.1378,-1,-0.176412,-0.1082,162.318,0,0,0
0.033,0,-9.26867e-06,-0.000629984,0,0,-2.65884e-13,-2.65884e-10,0,0,-4.22532e-05,-0.00297258,1.19229,-1,-0.213165,-0.0802218,176.239,0,0,0
0.034,0,-9.92444e-06,-0.000655776,0,0,-2.65884e-13,-2.65884e-10,0,0,-4.52758e-05,-0.00302264,1.21256,-1,-0.230334,-0.100498,197.544,0,0,0
0.035,0,-1.0604e-05,-0.000679594,0,0,-2.65884e-13,-2.65884e-10,0,0,-4.83155e-05,-0.00303974,1.21964,-1,-0.247008,-0.12498,206.857,0,0,0
0.036,0,-1.13055e-05,-0.000701453,0,0,-2.65884e-13,-2.65884e-10,0,0,-5.13843e-05,-0.00306873,1.23148,-1,-0.267838,-0.144811,216.285,0,0,0
0.037,0,-1.20284e-05,-0.000722936,0,0,-2.65884e-13,-2.65884e-10,0,0,-5.44298e-05,-0.00304551,1.22244,-1,-0.294995,-0.157507,230.878,0,0,0
0.038,0,-1.27733e-05,-0.00074483,0,0,-2.65884e-13,-2.65884e-10,0,0,-5.73067e-05,-0.00287696,1.15525,-1,-0.341388,-0.129763,248.2,0,0,0
0.039,0,-1.35402e-05,-0.000766993,0,0,-2.65884e-13,-2.65884e-10,0,0,-6.03746e-05,-0.0030679,1.23187,-1,-0.372604,-0.138304,265.627,0,0,0
0.04,0,-1.4328e-05,-0.000787765,0,0,-2.65884e-13,-2.65884e-10,0,0,-6.34672e-05,-0.00309254,1.24197,-1,-0.41337,-0.125846,277.932,0,0,0
0.041,0,-1.5136e-05,-0.000807938,0,0,-2.65884e-13,-2.65884e-10,0,0,-6.60024e-05,-0.00253516,1.01924,-1,-0.458706,-0.09684,292.918,0,0,0
0.042,0,-1.59643e-05,-0.000828306,0,0,-2.65884e-13,-2.65884e-10,0,0,-6.88643e-05,-0.00286197,1.15018,-1,-0.4997,-0.0746774,310.593,0,0,0
0.043,0,-1.68106e-05,-0.000846355,0,0,-2.65884e-13,-2.65884e-10,0,0,-7.23822e-05,-0.00351792,1.41282,-1,-0.540424,-0.0724264,320.348,0,0,0
0.044,0,-1.76727e-05,-0.000862099,0,0,-2.65884e-13,-2.65884e-10,0,0,-7.64117e-05,-0.0040295,1.61775,-1,-0.587256,-0.066265,330.18,0,0,0
0.045,0,-1.85509e-05,-0.000878141,0,0,-2.65884e-13,-2.65884e-10,0,0,-8.09726e-05,-0.00456087,1.83064,-1,-0.640006,-0.0594831,348.247,0,0,0
