Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.031,0,-8.42512e-06,-0.000622585,0,0,-1.29745e-12,-1.29745e-09,0,0,1.29698e-05,0.000896743,-0.359699,-0.524062,-0.00394656,-0.151526,163.699,0,0,0
0.032,0,-9.07278e-06,-0.000647668,0,0,-1.29745e-12,-1.29745e-09,0,0,1.377e-05,0.000800246,-0.321168,-0.872284,-0.0228283,-0.166114,175.381,0,0,0
0.033,0,-9.74668e-06,-0.000673897,0,0,-1.29745e-12,-1.29745e-09,0,0,1.44052e-05,0.000635114,-0.255173,-1,-0.0350754,-0.18214,194.199,0,0,0
0.034,0,-1.04448e-05,-0.000698141,0,0,-1.29745e-12,-1.29745e-09,0,0,1.49357e-05,0.000530499,-0.213373,-1,-0.0466067,-0.201295,203.734,0,0,0
0.035,0,-1.1166e-05,-0.000721167,0,0,-1.29745e-12,-1.29745e-09,0,0,1.52081e-05,0.000272449,-0.110185,-1,-0.0601214,-0.222299,215.846,0,0,0
0.036,0,-1.19096e-05,-0.000743603,0,0,-1.29745e-12,-1.29745e-09,0,0,1.47698e-05,-0.00043828,0.174113,-1,-0.0799855,-0.244769,230.557,0,0,0
0.037,0,-1.26743e-05,-0.000764716,0,0,-1.29745e-12,-1.29745e-09,0,0,1.35593e-05,-0.00121058,0.483097,-1,-0.1339,-0.252845,242.949,0,0,0
0.038,0,-1.34609e-05,-0.000786546,0,0,-1.29745e-12,-1.29745e-09,0,0,1.21682e-05,-0.00139102,0.555378,-1,-0.212795,-0.232308,260.491,0,0,0
0.039,0,-1.4267e-05,-0.000806156,0,0,-1.29745e-12,-1.29745e-09,0,0,1.09823e-05,-0.00118588,0.473428,-1,-0.205858,-0.284348,270.467,0,0,0
0.04,0,-1.50913e-05,-0.000824288,0,0,-1.29745e-12,-1.29745e-09,0,0,9.80677e-06,-0.00117558,0.469401,-1,-0.204737,-0.334863,283.139,0,0,0
0.041,0,-1.59324e-05,-0.000841143,0,0,-1.29745e-12,-1.29745e-09,0,0,8.78566e-06,-0.00102111,0.407701,-1,-0.235438,-0.36742,295.904,0,0,0
0.042,0,-1.67899e-05,-0.000857462,0,0,-1.29745e-12,-1.29745e-09,0,0,8.46183e-06,-0.000323824,0.12884,-1,-0.260885,-0.406275,311.372,0,0,0
0.043,0,-1.76638e-05,-0.000873928,0,0,-1.29745e-12,-1.29745e-09,0,0,9.12252e-06,0.00066069,-0.264979,-1,-0.27377,-0.45225,329.613,0,0,0
0.044,0,-1.85521e-05,-0.000888231,0,0,-1.29745e-12,-1.29745e-09,0,0,1.04122e-05,0.00128972,-0.516669,-1,-0.299171,-0.482918,339.926,0,0,0
0.045,0,-1.94533e-05,-0.00090127,0,0,-1.29745e-12,-1.29745e-09,0,0,1.21177e-05,0.00170548,-0.683092,-1,-0.347448,-0.492953,352.97,0,0,0
0.046,0,-2.03656e-05,-0.000912308,0,0,-1.29745e-12,-1.29745e-09,0,0,1.39502e-05,0.00183253,-0.734054,-1,-0.428715,-0.467402,363.428,0,0,0
0.047,0,-2.1288e-05,-0.000922344,0,0,-1.29745e-12,-1.29745e-09,0,0,1.60279e-05,0.0020777,-0.832278,-1,-0.502146,-0.436307,376.666,0,0,0
0.048,0,-2.22184e-05,-0.000930407,0,0,-1.29745e-12,-1.29745e-09,0,0,1.82971e-05,0.00226919,-0.909049,-1,-0.45523,-0.531931,387.19,0,0,0
0.049,0,-2.31549e-05,-0.000936535,0,0,-1.29745e-12,-1.29745e-09,0,0,2.0642e-05,0.00234484,-0.939496,-1,-0.409022,-0.617862,397.782,0,0,0
0.05,0,-2.40973e-05,-0.000942335,0,0,-1.29745e-12,-1.29745e-09,0,0,2.2996e-05,0.00235404,-0.943363,-1,-0.38689,-0.688102,414.016,0,0,0
0.051,0,-2.50445e-05,-0.0009472,0,0,-1.29745e-12,-1.29745e-09,0,0,2.50057e-05,0.0020097,-0.805801,-1,-0.446516,-0.710642,427.408,0,0,0
0.052,0,-2.59975e-05,-0.000953015,0,0,-1.29745e-12,-1.29745e-09,0,0,2.77718e-05,0.00276607,-1.10854,-1,-0.517759,-0.729237,446.366,0,0,0
0.053,0,-2.69543e-05,-0.000956824,0,0,-1.29745e-12,-1.29745e-09,0,0,3.14963e-05,0.0037245,-1.49217,-0.740796,-0.432222,-0.85186,456.747,0,0,0
0.054,0,-2.7913e-05,-0.000958665,0,0,-1.29745e-12,-1.29745e-09,0,0,3.57944e-05,0.00429809,-1.72193,-0.575692,-0.345049,-0.961588,467.203,0,0,0
0.055,0,-2.88732e-05,-0.000960279,0,0,-1.29745e-12,-1.29745e-09,0,0,4.0884e-05,0.00508959,-2.0389,-0.387125,-0.314755,-1.0471,483.321,0,0,0
0.056,0,-2.98359e-05,-0.000962629,0,0,-1.29745e-12,-1.29745e-09,0,0,4.68418e-05,0.00595787,-2.38666,-0.234301,-0.291991,-1.1256,502.172,0,0,0
0.057,0,-3.07998e-05,-0.000963935,0,0,-1.29745e-12,-1.29745e-09,0,0,5.29421e-05,0.00610028,-2.4441,-0.253281,-0.260678,-1.19729,515.099,0,0,0
0.058,0,-3.1766e-05,-0.000966211,0,0,-1.29745e-12,-1.29745e-09,0,0,5.92286e-05,0.0062865,-2.51909,-0.26159,-0.3639,-1.22915,533.701,0,0,0
0.059,0,-3.27334e-05,-0.000967359,0,0,-1.29745e-12,-1.29745e-09,0,0,6.53379e-05,0.00610926,-2.44869,-0.344704,-0.399292,-1.27872,546.313,0,0,0
0.06,0,-3.37009e-05,-0.000967529,0,0,-1.29745e-12,-1.29745e-09,0,0,7.08946e-05,0.00555666,-2.22812,-0.530153,-0.510976,-1.30368,558.895,0,0,0
0.061,0,-3.46684e-05,-0.000967534,0,0,-1.29745e-12,-1.29745e-09,0,0,7.53499e-05,0.00445535,-1.78799,-0.970804,-0.638336,-1.32344,574.166,0,0,0
0.062,0,-3.5634e-05,-0.000965536,0,0,-1.29745e-12,-1.29745e-09,0,0,7.90942e-05,0.00374431,-1.5039,-1,-0.813983,-1.31875,583.571,0,0,0
0.063,0,-3.65965e-05,-0.000962475,0,0,-1.29745e-12,-1.29745e-09,0,0,8.31714e-05,0.0040772,-1.63737,-1,-0.922531,-1.35723,595.84,0,0,0
0.064,0,-3.75541e-05,-0.000957618,0,0,-1.29745e-12,-1.29745e-09,0,0,8.80068e-05,0.00483536,-1.94099,-0.983859,-0.948843,-1.45301,605.159,0,0,0
0.065,0,-3.8507e-05,-0.000952919,0,0,-1.29745e-12,-1.29745e-09,0,0,9.34711e-05,0.00546427,-2.19297,-0.799828,-0.92836,-1.57818,620.092,0,0,0
0.066,0,-3.94534e-05,-0.000946415,0,0,-1.29745e-12,-1.29745e-09,0,0,9.91688e-05,0.00569777,-2.28682,-0.767441,-0.848844,-1.73671,629.131,0,0,0
0.067,0,-4.03916e-05,-0.000938237,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000104806,0.00563759,-2.2632,-0.824634,-0.859903,-1.85095,638.158,0,0,0
0.068,0,-4.13209e-05,-0.000929276,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000109967,0.00516086,-2.07293,-1,-0.942486,-1.93569,649.916,0,0,0
0.069,0,-4.22408e-05,-0.00091986,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000114425,0.00445792,-1.79215,-1,-1.16411,-1.94152,661.572,0,0,0
0.07,0,-4.31498e-05,-0.000909014,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000118527,0.00410181,-1.65004,-1,-1.36655,-1.94717,670.231,0,0,0
0.071,0,-4.40483e-05,-0.000898494,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000122661,0.00413434,-1.66338,-1,-1.53269,-1.97166,684.258,0,0,0
0.072,0,-4.49358e-05,-0.000887481,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000126656,0.00399484,-1.60791,-1,-1.68273,-2.00038,695.267,0,0,0
0.073,0,-4.58117e-05,-0.000875934,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000130212,0.00355624,-1.43277,-1,-1.87242,-1.98663,706.058,0,0,0
0.074,0,-4.66757e-05,-0.000863963,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000133872,0.00365976,-1.47447,-1,-2.17116,-1.83727,716.601,0,0,0
0.075,0,-4.75299e-05,-0.000854227,0,0,-1.29745e-12,-1.29745e-09,0,0,0.00013634,0.0024675,-0.997809,-1,-2.42155,-1.69214,735.025,0,0,0
0.076,0,-4.8373e-05,-0.000843082,0,0,-1.29745e-12,-1.29745e-09,0,0,0.00013762,0.0012806,-0.5232,-1,-2.63216,-1.58502,742.006,0,0,0
0.077,0,-4.92035e-05,-0.00083056,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000138391,0.000770861,-0.319385,-1,-2.78728,-1.57958,748.923,0,0,0
0.078,0,-5.00203e-05,-0.000816764,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000139301,0.000909625,-0.374958,-1,-2.88136,-1.69616,755.774,0,0,0
0.079,0,-5.08221e-05,-0.000801791,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000140618,0.00131712,-0.538045,-1,-2.9333,-1.88519,762.536,0,0,0
0.08,0,-5.16078e-05,-0.000785754,0,0,-1.29745e-12,-1.29745e-09,0,0,0.00014226,0.00164223,-0.668208,-1,-2.97349,-2.08391,769.201,0,0,0
0.081,0,-5.23766e-05,-0.000768759,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000144011,0.00175128,-0.711964,-1,-3.03859,-2.24071,775.754,0,0,0
0.082,0,-5.31284e-05,-0.000751781,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000145459,0.00144769,-0.590656,-1,-3.14965,-2.3349,784.663,0,0,0
0.083,0,-5.38632e-05,-0.000734796,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000146227,0.000767404,-0.318629,-1,-3.22822,-2.48188,793.304,0,0,0
0.084,0,-5.45808e-05,-0.000717628,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000146876,0.000649639,-0.27158,-1,-3.29667,-2.65736,801.585,0,0,0
0.085,0,-5.52818e-05,-0.000701037,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000148558,0.00168139,-0.684374,-1,-3.34386,-2.86387,812.011,0,0,0
0.086,0,-5.59652e-05,-0.000683397,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000151294,0.00273609,-1.10643,-1,-3.2669,-3.1894,817.173,0,0,0
0.087,0,-5.66309e-05,-0.000665668,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000154153,0.00285941,-1.15598,-1,-3.28808,-3.38559,824.614,0,0,0
0.088,0,-5.7278e-05,-0.000647114,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000156634,0.0024808,-1.00475,-1,-3.49862,-3.38429,829.384,0,0,0
0.089,0,-5.79059e-05,-0.000627891,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000158788,0.00215432,-0.874346,-1,-3.87027,-3.18412,834.017,0,0,0
0.09,0,-5.85148e-05,-0.000608895,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000160582,0.00179373,-0.730265,-1,-4.24307,-2.92167,840.744,0,0,0
0.091,0,-5.91041e-05,-0.000589312,0,0,-1.29745e-12,-1.29745e-09,0,0,0.00016226,0.00167815,-0.684175,-1,-4.48269,-2.80988,844.893,0,0,0
0.092,0,-5.96748e-05,-0.000570668,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000164793,0.00253301,-1.02628,-1,-4.69731,-2.7196,853.3,0,0,0
0.093,0,-6.02262e-05,-0.000551368,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000168233,0.00344004,-1.38934,-1,-4.70288,-2.95584,856.823,0,0,0
0.094,0,-6.07584e-05,-0.000532272,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000172405,0.00417148,-1.68222,-1,-4.72514,-3.13608,862.292,0,0,0
0.095,0,-6.1271e-05,-0.000512525,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000176771,0.00436603,-1.76038,-1,-4.58225,-3.52336,865.347,0,0,0
0.096,0,-6.17632e-05,-0.000492291,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000180962,0.00419113,-1.69076,-1,-4.64668,-3.61112,868.257,0,0,0
0.097,0,-6.22362e-05,-0.000472927,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000184948,0.00398648,-1.60923,-1,-4.84607,-3.51606,874.967,0,0,0
0.098,0,-6.26892e-05,-0.000453074,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000188859,0.00391113,-1.57941,-1,-4.94618,-3.54799,877.253,0,0,0
0.099,0,-6.31221e-05,-0.000432862,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000192848,0.00398896,-1.61085,-1,-5.07495,-3.53479,879.436,0,0,0
0.1,0,-6.35344e-05,-0.00041231,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000196995,0.00414711,-1.67444,-1,-5.1971,-3.52047,881.396,0,0,0
0.101,0,-6.39259e-05,-0.000391493,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000201297,0.00430168,-1.7366,-1,-5.31521,-3.49992,883.181,0,0,0
0.102,0,-6.42975e-05,-0.000371604,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000206293,0.00499576,-2.01461,-0.885241,-5.43276,-3.46812,888.394,0,0,0
0.103,0,-6.46489e-05,-0.000351403,0,0,-1.29745e-12,-1.29745e-09,0,0,0.00021185,0.00555689,-2.23948,-0.652126,-5.29466,-3.79709,889.539,0,0,0
0.104,0,-6.49799e-05,-0.000330985,0,0,-1.29745e-12,-1.29745e-09,0,0,0.00021758,0.00573048,-2.30937,-0.557437,-5.25258,-3.95707,890.521,0,0,0
0.105,0,-6.52903e-05,-0.000310441,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000223224,0.00564422,-2.27532,-0.532628,-5.37095,-3.88848,891.327,0,0,0
0.106,0,-6.55802e-05,-0.000289817,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000228738,0.00551327,-2.22339,-0.517806,-5.5081,-3.78135,891.948,0,0,0
0.107,0,-6.58498e-05,-0.000269652,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000234446,0.00570869,-2.302,-0.411907,-5.55989,-3.7889,893.983,0,0,0
0.108,0,-6.60996e-05,-0.000249811,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000240148,0.00570114,-2.29944,-0.36049,-5.48995,-3.95716,895.682,0,0,0
0.109,0,-6.63302e-05,-0.000230542,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000246078,0.00593009,-2.39149,-0.252557,-5.91255,-3.35903,897,0,0,0
0.11,0,-6.65411e-05,-0.000210953,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000251967,0.00588947,-2.37571,-0.216691,-5.09313,-4.54208,896.503,0,0,0
0.111,0,-6.67325e-05,-0.000191406,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000257772,0.00580447,-2.34218,-0.18291,-5.33306,-4.29421,895.869,0,0,0
0.112,0,-6.69043e-05,-0.00017179,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000263464,0.00569244,-2.29783,-0.165328,-5.1888,-4.49614,895.055,0,0,0
0.113,0,-6.70566e-05,-0.000152263,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000269073,0.00560892,-2.26487,-0.129392,-5.14238,-4.57366,894.074,0,0,0
0.114,0,-6.71894e-05,-0.000132833,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000274636,0.00556333,-2.24708,-0.0821837,-5.08295,-4.65964,892.917,0,0,0
0.115,0,-6.73029e-05,-0.000113456,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000280153,0.00551636,-2.22874,-0.0468488,-4.95386,-4.80859,891.584,0,0,0
0.116,0,-6.73972e-05,-9.43237e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000285596,0.00544294,-2.19981,0.00235892,-4.81174,-4.95517,890.079,0,0,0
0.117,0,-6.74725e-05,-7.53417e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000290985,0.00538903,-2.17868,0.044909,-4.80767,-4.95729,888.396,0,0,0
0.118,0,-6.7529e-05,-5.64375e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000296151,0.00516653,-2.0901,0.0519196,-4.19465,-5.45773,886.536,0,0,0
0.119,0,-6.7567e-05,-3.80497e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000301542,0.00539086,-2.18025,0.144868,-5.47383,-4.18933,884.51,0,0,0
0.12,0,-6.75869e-05,-1.98471e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000305387,0.00384462,-1.56212,-0.124272,-0.345287,-6.81249,883.328,0,0,0
0.121,0,-6.75896e-05,-2.75759e-06,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000309716,0.00432891,-1.75617,0.0697903,-6.82474,1.13668,880.889,0,0,0
0.122,0,-6.75748e-05,1.48186e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000313231,0.00351556,-1.43114,-0.0777934,-0.938126,-6.86918,879.095,0,0,0
0.123,0,-6.75431e-05,3.16888e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000317234,0.00400284,-1.62635,0.131067,-5.66073,-4.00642,876.271,0,0,0
0.124,0,-6.74945e-05,4.86189e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000321041,0.00380683,-1.54826,0.164594,-2.29756,-6.48316,873.221,0,0,0
