Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.032,0,-8.75967e-06,-0.000614313,0,0,-2.93238e-12,-2.93238e-09,0,0,3.87085e-05,0.00275034,-1.10312,0.455235,0.0582147,-0.102215,161.026,0,0,0
0.033,0,-9.39744e-06,-0.000637776,0,0,-2.93238e-12,-2.93238e-09,0,0,4.14928e-05,0.00278428,-1.11692,0.410956,0.05707,-0.11715,175.083,0,0,0
0.034,0,-1.00593e-05,-0.000661848,0,0,-2.93238e-12,-2.93238e-09,0,0,4.48353e-05,0.00334259,-1.34049,0.462449,0.0753656,-0.119321,191.765,0,0,0
0.035,0,-1.07434e-05,-0.000684125,0,0,-2.93238e-12,-2.93238e-09,0,0,4.87697e-05,0.00393439,-1.5775,0.500318,0.111008,-0.10411,201.222,0,0,0
0.036,0,-1.14481e-05,-0.000704635,0,0,-2.93238e-12,-2.93238e-09,0,0,5.30537e-05,0.00428396,-1.71766,0.49834,0.138689,-0.0884379,210.788,0,0,0
0.037,0,-1.2173e-05,-0.000724985,0,0,-2.93238e-12,-2.93238e-09,0,0,5.68731e-05,0.00381941,-1.53216,0.385395,0.153166,-0.0905686,225.603,0,0,0
0.038,0,-1.29189e-05,-0.000745832,0,0,-2.93238e-12,-2.93238e-09,0,0,5.9934e-05,0.00306093,-1.22904,0.166382,0.131995,-0.137421,243.106,0,0,0
0.039,0,-1.36861e-05,-0.000767251,0,0,-2.93238e-12,-2.93238e-09,0,0,6.28687e-05,0.00293472,-1.1788,0.0532313,0.0629989,-0.191461,260.769,0,0,0
0.04,0,-1.44727e-05,-0.000786576,0,0,-2.93238e-12,-2.93238e-09,0,0,6.61435e-05,0.00327471,-1.31505,0.082035,0.0175142,-0.214212,270.608,0,0,0
0.041,0,-1.52792e-05,-0.00080649,0,0,-2.93238e-12,-2.93238e-09,0,0,6.9566e-05,0.00342253,-1.37444,0.0518554,0.0253409,-0.229879,288.623,0,0,0
0.042,0,-1.61059e-05,-0.00082669,0,0,-2.93238e-12,-2.93238e-09,0,0,7.39038e-05,0.00433777,-1.74085,0.194824,0.0120189,-0.255129,306.603,0,0,0
0.043,0,-1.69512e-05,-0.000845329,0,0,-2.93238e-12,-2.93238e-09,0,0,7.89076e-05,0.00500386,-2.00766,0.250432,0.0467566,-0.281931,319.248,0,0,0
0.044,0,-1.78138e-05,-0.000862585,0,0,-2.93238e-12,-2.93238e-09,0,0,8.3835e-05,0.00492733,-1.97744,0.184608,0.0767292,-0.30776,332.009,0,0,0
0.045,0,-1.8694e-05,-0.000880225,0,0,-2.93238e-12,-2.93238e-09,0,0,8.87346e-05,0.00489967,-1.96677,0.125405,0.063251,-0.343732,350.359,0,0,0
0.046,0,-1.95905e-05,-0.000896488,0,0,-2.93238e-12,-2.93238e-09,0,0,9.34817e-05,0.00474706,-1.90611,0.0403438,0.0450212,-0.381841,363.2,0,0,0
0.047,0,-2.05017e-05,-0.000911208,0,0,-2.93238e-12,-2.93238e-09,0,0,9.85158e-05,0.0050341,-2.02132,0.0423254,0.0150764,-0.424703,376.083,0,0,0
0.048,0,-2.14262e-05,-0.000924506,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000104348,0.00583187,-2.34086,0.127396,0.0174774,-0.467694,389.067,0,0,0
0.049,0,-2.23627e-05,-0.000936522,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000110575,0.00622728,-2.49951,0.137647,0.0606434,-0.50874,402.068,0,0,0
0.05,0,-2.3309e-05,-0.000946306,0,0,-2.93238e-12,-2.93238e-09,0,0,0.00011683,0.00625504,-2.51111,0.0971739,0.0739158,-0.553658,412.3,0,0,0
0.051,0,-2.42659e-05,-0.000956843,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000123326,0.00649633,-2.60814,0.0869722,0.057605,-0.602818,431.076,0,0,0
0.052,0,-2.52337e-05,-0.000967781,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000129883,0.00655649,-2.63273,0.0540508,0.0469966,-0.661268,449.78,0,0,0
0.053,0,-2.62128e-05,-0.000979087,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000137475,0.00759252,-3.0477,0.146053,0.0263876,-0.729525,468.318,0,0,0
0.054,0,-2.72016e-05,-0.000988808,0,0,-2.93238e-12,-2.93238e-09,0,0,0.00014583,0.00835491,-3.3533,0.189402,0.0809717,-0.805106,480.995,0,0,0
0.055,0,-2.81976e-05,-0.000996011,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000154461,0.00863071,-3.4643,0.182003,0.113601,-0.892084,490.883,0,0,0
0.056,0,-2.91993e-05,-0.00100175,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000163415,0.0089543,-3.59443,0.178741,0.121105,-0.985841,503.787,0,0,0
0.057,0,-3.02046e-05,-0.00100526,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000172626,0.0092107,-3.69772,0.169947,0.146578,-1.07183,513.825,0,0,0
0.058,0,-3.12141e-05,-0.00100949,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000182352,0.00972625,-3.9047,0.18458,0.177545,-1.14855,532.479,0,0,0
0.059,0,-3.22264e-05,-0.00101236,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000192148,0.00979547,-3.93317,0.161332,0.233132,-1.21672,545.186,0,0,0
0.06,0,-3.32416e-05,-0.00101519,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000201589,0.00944161,-3.79239,0.0994604,0.245555,-1.28518,561.122,0,0,0
0.061,0,-3.42594e-05,-0.00101773,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000210046,0.00845628,-3.39898,-0.0383546,0.140355,-1.37148,576.557,0,0,0
0.062,0,-3.52774e-05,-0.00101806,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000217845,0.00779938,-3.13687,-0.161579,-0.0942781,-1.45156,586.017,0,0,0
